rank,slug,verslagnaam,voornaam,match_achternaam,fractie,functie,first_year,total_words,total_days,years_active
78,van-rijn,Van Rijn,Martin,Rijn,,"staatssecretaris van Volksgezondheid, Welzijn en Sport",2017,969091,134,2013-2020
79,koenders,Koenders,Bert,Koenders,,minister van Buitenlandse Zaken,2017,430907,67,2014-2017
80,dijksma,Dijksma,Sharon,Dijksma,PvdA,staatssecretaris van Economische Zaken,2017,584687,161,2013-2018
81,dijsselbloem,Dijsselbloem,Jeroen,Dijsselbloem,PvdA,minister van Financiën,2017,671825,111,2013-2017
82,van-dam,Van Dam,Martijn,Dam,PvdA,staatssecretaris van Economische Zaken,2017,332939,81,2013-2017
83,verhoeven,Verhoeven,Kees,Verhoeven,D66,lid Tweede Kamer,2017,569046,314,2013-2021
84,dijkhoff,Dijkhoff,Klaas,Dijkhoff,VVD,staatssecretaris van Veiligheid en Justitie,2017,529779,160,2013-2021
85,van-der-steur,Van der Steur,Ard,Steur,VVD,minister van Veiligheid en Justitie,2016,681124,143,2013-2017
86,bussemaker,Bussemaker,Jet,Bussemaker,,"minister van Onderwijs, Cultuur en Wetenschap",2016,578114,91,2013-2017
87,schippers,Schippers,Edith,Schippers,,"minister van Volksgezondheid, Welzijn en Sport",2016,649673,113,2013-2017
88,schultz-van-haegen-maas-geesteranus,Schultz van Haegen-Maas Geesteranus,Melanie,Schultz,,minister van Infrastructuur en Milieu,2016,471539,79,2013-2017
89,grashoff,Grashoff,Rik,Grashoff,GroenLinks,lid Tweede Kamer,2016,320910,207,2015-2018
90,van-miltenburg,Van Miltenburg,Anouchka,Miltenburg,VVD,Lid Tweede Kamer,2015,494085,266,2013-2016
91,pechtold,Pechtold,Alexander,Pechtold,D66,lid Tweede Kamer,2015,373216,152,2013-2018
92,van-weyenberg,Van Weyenberg,Steven,Weyenberg,D66,lid Tweede Kamer,2015,893310,531,2013-2024
93,teeven,Teeven,Fred,Teeven,VVD,staatssecretaris van Veiligheid en Justitie,2014,325018,101,2013-2025
94,klijnsma,Klijnsma,Jellejetta,Klijnsma,,staatssecretaris van Sociale Zaken en Werkgelegenheid,2014,295449,97,2013-2017
95,opstelten,Opstelten,Ivo,Opstelten,,minister van Veiligheid en Justitie,2014,203125,63,2013-2015
96,karabulut,Karabulut,Sadet,Karabulut,SP,lid Tweede Kamer,2014,432612,326,2013-2021
97,voortman,Voortman,Linda,Voortman,GroenLinks,lid Tweede Kamer,2014,390253,323,2013-2018
98,klein,Klein,Norbert,Klein,Klein,Lid Tweede Kamer,2013,213123,227,2013-2017
